76 80 137 129 ~ start 
89 83 136 133
93 85 145 143
92 92 143 147
88 89 140 136
91 85 129 131
84 81 131 138
81 84 134 143
78 86 146 145
90 87 124 127
40 32 65 70
-27 -83 -32 -36
-45 -108 -74 -85
-54 -126 -190 -168
-59 -127 -290 -270
-67 -134 -272 -262
-61 -123 -253 -262
-52 -119 -224 -227
-44 -101 -189 -188
-52 -85 -144 -140
-49 -62 -86 -104
-37 -54 -40 -55
-25 -37 -2 -6
-25 -31 23 25
-24 -18 43 40
-12 -13 52 46
-4 1 55 59
-3 3 61 70
-5 6 62 67
4 3 56 52
6 14 44 47
8 14 34 49
0 17 30 36
9 14 32 27
8 14 32 23
12 15 25 26
0 15 17 13
9 9 21 2
5 10 16 5
13 13 14 11
-1 9 10 9
8 7 13 -4
3 4 8 -5
13 13 4 0
-2 6 4 0
6 3 7 -4
2 3 5 -4
10 7 6 7
-4 3 2 2
3 3 8 -3
1 -1 8 -1
9 5 9 7
-5 0 4 3
1 0 10 0
0 -2 6 0
7 5 4 11
-5 -2 1 1
1 -1 2 8
-1 -6 2 0
7 3 0 11
-5 0 -3 4
-1 0 4 10
-1 -4 1 0
6 0 0 4
-2 -2 0 5
-3 1 -1 7
0 -4 0 -1
6 3 -2 4
-1 -2 0 10
-3 1 -1 8
0 -2 -3 -2
5 4 -3 -3
0 1 -7 11
-3 3 -6 3 
1 -3 -5 4
4 2 -5 -2
1 0 -5 12
-5 2 -8 0
2 -2 -3 -5
34 22 -4 -10
81 78 -97 -194
68 92 -307 -284
76 88 -317 -275
76 89 -304 -274
76 88 -298 -261
73 92 -286 -253
76 78 -255 -246
74 86 -233 -233
69 85 -209 -216
67 84 -189 -176
73 77 -171 -163
80 83 -115 -130
68 77 -62 -88
2 50 -59 -71
-305 -218 -83 -75  
-487 -466 -93 -93
-537 -542 -53 -62
-519 -557 60 59
-476 -503 142 140
-399 -425 144 135
-325 -351 161 157
-260 -278 151 160
-32 -96 141 136
115 103 130 117
89 91 136 118
83 86 144 146
77 88 149 148
93 92 153 141
97 92 142 134
98 92 131 131
82 82 131 135
67 85 140 145
86 83 147 145
91 91 146 140
101 98 136 146
87 87 85 90  
72 85 -11 -17
79 80 -77 -74
81 89 -105 -99
88 84 -135 -116
68 84 -158 -147
74 84 -185 -184
72 83 -205 -196
84 88 -223 -205
73 83 -227 -212
72 85 -212 -210
75 81 -201 -204
76 89 -179 -185
