// plcout 0
0x0084:     "PLC SERIAL WRITE FAULT"
0x0085:     "Open PLC 8.5"
0x0086:     "Open PLC 8.6"
0x0087:     "Open PLC 8.7"
0x0088:     "LF ROLL MOTOR GENERAL FAULT"
0x0089:     "RF ROLL MOTOR GENERAL FAULT"
0x008A:     "LR ROLL MOTOR GENERAL FAULT"
0x008B:     "RR ROLL MOTOR GENERAL FAULT"
0x008C:     "LF ROLL MOTOR DRIVE COMM"
0x008D:     "RF ROLL MOTOR DRIVE COMM"
0x008E:     "LR ROLL MOTOR DRIVE COMM"
0x008F:     "RR ROLL MOTOR DRIVE COMM"

// plcout 9
0x0090:     "PROGRAM WHEELBASE POSITION"
0x0091:     "ENABLE ALL ROLL DRIVES"
0x0092:     "DCL CONTROL"
0x0093:     "PLC-VME COMM TASK HEARTBEAT"
0x0094:     "WATT TRANSDUCER CONTROL"
0x0095:     "AIR BAG TEST FAILED"
0x0096:     "AIR BAG TEST IN PROGRESS"
0x0097:     "AIR BAG TEST PASSED"
0x0098:     "SPEED PRO TEST (RAISE F EL)"
0x0099:     "CHECK WB POSITION AGAIN"
0x009A:     "DEPLOY VIBRATION SENSOR"
0x009B:     "Open PLC 9.11"
0x009C:     "Open PLC 9.12"
0x009D:     "Open PLC 9.13"
0x009E:     "Open PLC 9.14"
0x009F:     "Open PLC 9.15"

// plcout 10
0x00A0 - 0x00AF:     "LF WHEEL SPEED" 

// plcout 11
0x00B0 - 0x00BF:     "LR WHEEL SPEED"

// plcout 12
0x00C0 - 0x00CF:     "VERIFICATION PRESSURE"

// plcout 13
0x00D0 - 0x00DF:     "BOOST PRESSURE"

// plcout 14
0x00E0 - 0x00EF:     "MINIMUM BOOST PRESSURE"

// plcout 15
0x00F0 - 0x00FF:     "JOUNCE CYCLES"

// plcout 16
0x0100 - 0x010F:     "JOUNCE FREQUENCY (Hz * 100)"

// plcout 17
0x0110 - 0x011F:     "RF WHEEL SPEED"

// plcout 18
